City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,yorosso,12.3536,-4.7761,32.9,14,64,2.41,ML,1682118375
287,cidreira,-30.1811,-50.2056,20.65,70,42,6.67,BR,1682118249
288,ketchikan,55.3422,-131.6461,12.26,40,40,6.69,US,1682118375
289,flin flon,54.7682,-101.865,6.91,24,20,5.66,CA,1682118375
290,kendari,-3.945,122.4989,24.1,95,86,1.21,ID,1682118375
291,usinsk,65.9939,57.5281,-3.16,97,93,4.55,RU,1682118376
292,kiruna,67.8557,20.2251,-2.49,100,100,3.6,SE,1682118376
293,guantanamo,20.1444,-75.2092,27.76,80,63,1.25,CU,1682118377
294,khao yoi,13.2403,99.8243,26.39,72,0,1.29,TH,1682118377
295,isafjordur,66.0755,-23.124,-0.81,72,34,3.02,IS,1682118377
296,hailar,49.2,119.7,-1.37,28,0,5.06,CN,1682118377
297,grand gaube,-20.0064,57.6608,26.22,76,6,1.79,MU,1682118378
298,tyukalinsk,55.8732,72.1967,2.53,66,81,3.79,RU,1682118378
299,uturoa,-16.7333,-151.4333,28.13,79,81,7.75,PF,1682118378
300,la'ie,21.6477,-157.9253,29.66,86,5,3.73,US,1682118379
301,ad dabbah,18.05,30.95,28.56,15,0,4.57,SD,1682118379
302,kailua-kona,19.6406,-155.9956,28.98,84,40,4.63,US,1682118277
303,halabjah,35.1778,45.9861,15.45,74,49,0.51,IQ,1682118379
304,chelm,51.1431,23.4716,9.31,69,94,2.05,PL,1682118379
305,iwanai,42.9744,140.5089,5.53,68,93,6.25,JP,1682118380
306,buka,40.8108,69.1986,12.88,36,8,1.11,UZ,1682118380
307,upper grand lagoon,30.1633,-85.7408,23.35,85,75,7.2,US,1682118380
308,castlegar,49.2998,-117.6689,11.66,62,93,1.47,CA,1682118380
309,krasnozerskoye,53.9828,79.2374,-0.84,57,6,2.59,RU,1682118381
310,bodo,67.28,14.405,6.02,94,100,11.83,NO,1682118381
311,cole harbour,44.6724,-63.4751,7.66,71,65,2.24,CA,1682118381
312,swift current,50.2834,-107.8014,-1.55,80,100,3.09,CA,1682118348
313,caleta de carquin,-11.0925,-77.6267,24.32,79,49,4.94,PE,1682118382
314,uberlandia,-18.9186,-48.2772,23.56,60,0,1.54,BR,1682118382
315,wamba,8.9333,8.6,25.05,68,100,0.34,NG,1682118382
316,haeju,38.0406,125.7147,13.29,24,92,3.4,KP,1682118383
317,nyurba,63.2842,118.3319,-7.68,91,100,2.56,RU,1682118383
318,burang,30.25,81.1667,-12.43,96,81,1.46,CN,1682118383
319,omerli,37.4022,40.9541,10.09,53,0,0.91,TR,1682118383
320,emerald,-23.5333,148.1667,21.3,59,0,8.25,AU,1682118290
321,camacupa,-12.0167,17.4833,16.59,95,100,2.06,AO,1682118384
322,zharkent,44.1628,80.0,6.98,37,99,1.36,KZ,1682118384
323,paracuru,-3.41,-39.0306,28.39,83,75,3.95,BR,1682118384
324,dombarovskiy,50.7587,59.5386,10.28,48,100,7.6,RU,1682118384
325,mukalla,14.5425,49.1242,27.22,71,95,2.57,YE,1682118385
326,saldanha,-33.0117,17.9442,12.03,61,100,1.92,ZA,1682118386
327,saint-pierre,-21.3393,55.4781,24.82,69,0,3.09,RE,1682118386
